id, x, y, freq, label
643, -59.670261, 19.847872, 72, company
644, -51.675583, 2.232713, 76, announced
645, -51.390293, 18.810188, 76, introduction
646, -62.182793, 22.752121, 76, religious
647, -71.802467, 17.059912, 56, half
648, -59.615093, 0.095490, 72, general
649, -65.533989, 26.821266, 72, fear
650, -58.707199, 19.544107, 70, peter
651, -65.252167, 10.672359, 74, relationships
652, -61.607483, 11.091057, 74, dorians
653, -66.127800, 10.137886, 74, floor
654, -47.245449, 28.755648, 56, f
655, -73.629616, 13.872000, 74, refuges
656, -60.503647, 13.858110, 70, written
657, -65.931572, 4.402414, 74, sick
658, -68.563904, 5.255228, 72, space
659, -64.244102, 16.715046, 72, taking
660, -51.135670, 18.498257, 74, paperback
661, -73.124359, 17.258118, 74, jail
662, -68.478752, 20.000462, 70, head
663, -71.398605, 17.631920, 70, less
664, -64.328773, 15.788795, 64, full
665, -65.402321, 8.826731, 74, opponents
666, -58.091335, 9.722818, 74, paper
667, -47.982449, 21.391319, 72, superior
668, -70.443398, 12.267105, 72, hotel
669, -54.233265, 4.414625, 56, deisher
670, -65.055954, 8.064404, 70, privacy
671, -59.148788, 16.090599, 66, falk
672, -64.166725, 15.179847, 64, strong
673, -64.605873, 14.215612, 70, individual
674, -73.831490, 16.626743, 56, eight
675, -61.249249, 9.112897, 72, issues
676, -56.829395, 9.693675, 58, williams
677, -72.431862, 12.576620, 72, look
678, -53.974789, 1.634918, 60, ramon
679, -64.942291, 11.385524, 36, raising
680, -50.650593, 27.402147, 70, letters
681, -65.311890, 9.538588, 68, focused
682, -66.664101, 7.124444, 70, places
683, -51.333591, 15.741393, 64, reform
684, -60.048019, 35.031906, 64, martin
685, -71.845253, 13.202969, 68, someone
686, -62.662846, 4.726237, 58, country
687, -51.563560, 8.182512, 70, bathhouses
688, -69.344788, 17.614134, 70, kept
689, -61.157288, 10.292197, 70, urged
690, -61.813869, 5.690984, 70, immediately
691, -66.908340, 20.872332, 66, crime
692, -56.882133, 7.041279, 64, cathedral
693, -61.669724, 15.628403, 62, area
694, -62.984573, 14.615934, 6, sta
695, -68.671577, 18.902754, 68, dis
696, -60.142681, 7.696743, 70, meetings
697, -48.481312, 25.693653, 30, tv
698, -43.796284, 5.170596, 70, students
699, -60.546513, 35.312496, 72, streets
700, -56.082634, 9.534600, 70, voted
701, -68.276497, 13.409627, 68, using
702, -60.835350, 10.883352, 66, action
